original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_Mean,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MaximumProbability,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume
-0.42602325533631175,-0.32424442405133486,-0.251376921290622,-0.04940236909479623,-0.0944579033536797,-0.5542147259664258,-0.36943996650667693,-0.39519870431560467,-0.13282317670931504,-0.45791576115348,-0.29959848791680194,-0.34943678259192085,-0.07820683858065859,-0.3784660503812852,0.21745765847873857,-0.251376921290622,-0.19553071854272724,-0.2246979813430093,-0.2733682527544502,-0.19244734360867663,-0.20634064262231577,-0.2280064108859182,-0.193748444161208,-0.15133616782292492,-0.1696770787423078,0.23875109850348125,-0.190486850774542,-0.11958482415655056,-0.11942670303326658,-1.0500045975350756,-0.7221050126730948,0.60877972348549,-0.1066924720779808,0.2910800370088993,-0.4448065113202596,-0.22826729391121187,-0.03737226120799711,-0.05873865741557734,-0.10523330184767121,-0.22468902357073378,-0.1288685836356263,-0.6722738585057803,-0.507809856551574,0.511934195221001,-0.42584693620242836,-0.22472699932757056,-0.2719806538718997,-0.2661865568523689,-0.5978848331126605,-0.1785709301500123,-0.09635814554461367,0.0268777797992845,-0.23573221369393993,1.1654595484776031,-0.6037416949000963,-0.2804906165145441,-0.22390501128498894,-0.2701334668338907,-0.20227049892407795,-0.2934189126448367,-0.14778803322262576,-0.10597118670118284,-0.19989873360461363,-0.6105974600326791,0.1757573268131904,0.2035374970770364,-0.22371078235406358,0.2784806049176567,-0.26677194546734834,0.11827775418113537,-0.31019203243652527,-0.3258511554751157,-0.24328074995358429,-0.2682792505771053,-0.22102317804799043,-0.4418354824870423,-0.14848158847890974,-0.3064260632700975,-0.36834350137820876,0.30633703309859,0.4389985897671301,-0.25529540618970775,-0.29101539081860867,-0.18738586763959533,0.07925477725334817,-0.22141524170824692,0.6559609996732627,0.3180981689395277,-0.727260362278741,-0.9008819005482537,-0.636892987828849,-0.8950172854998406,-1.0056686163763633,-1.0721033659888397,-0.7473102146259156,-0.660505091949323,1.3393931343307877,-0.841718901842969,-0.2594050943347405,-0.7477157941927199
-0.21112355254547172,-0.24157638147393923,-0.25387954942736374,0.18430200662852497,-0.23447686039188703,-0.427902316704191,-0.371986990848857,-0.22750848375192453,-0.25435795956931745,-0.2146312863546839,-0.1913073070862248,-0.3875101394900466,-0.2451557433333261,-0.23276178772693315,-1.0230926342054858,-0.25387954942736374,-0.39369578151613144,-0.23894416757495943,-0.2428424980830806,-0.19258321992588984,-0.21736440253514974,-0.24259650447734957,-0.18123891918334448,-1.6398451133775405,-0.00941821174244285,0.5030574551912921,-0.19591017131803873,-0.7479141905149582,-0.7986362635596161,-2.153975900541323,-1.9842776763827454,1.3633386244563062,-0.8859796035070628,-0.576428669392305,-0.21029787098624836,-0.33796299592561524,0.3925229213357043,-0.44984036667103383,0.15776715152474566,-0.2363795794035596,-0.3351863965981215,-0.7776302853213695,0.359491100299478,-0.8977594315186355,-0.5537476720049759,-0.2389559223573209,-0.24433085795016116,-0.5977878040502568,-0.5184995338120281,-0.20929286332961353,-0.25826890736488706,0.5386401354961311,-0.22614266109127146,1.08877594949786,-0.8573998482318763,-0.3848118564179888,-0.2392077465125512,-0.24568000303544626,-0.22574675463588803,-0.2649642829362286,-0.1508895155343032,-0.24986783028754325,-0.36850886290772716,-0.8397976276183816,0.8014524839302739,0.7411158309841476,-0.25265086204690534,0.6851066090518416,-0.2434273150041921,-0.3532609287727984,-0.7459086545280382,-0.3000936817644994,-0.24544573243951043,-0.25757282821634725,-0.22198260465529607,-0.44606601596211504,-0.148553858423741,-0.3386220779530079,-0.5013994805876406,0.12421868623808176,0.25849904685863095,-0.2486259489511051,-0.3157011015977734,-0.1936727991412709,0.6262592251912183,-0.22243027660955278,1.4501500333620927,2.0272404986233106,-1.2679126599000223,-1.745464535697669,-1.6664481656636017,-1.631362110176942,-1.5637021930174422,-1.674800700052631,-1.0344029411449454,-1.5145281187319761,0.7639136831612822,-1.1642162477996063,1.2263261545208899,-1.035210551215166
-0.39374582962069155,-0.30216829904487125,-0.24197402912797106,0.2636071237205787,-0.1552068688411559,-0.4730333225342928,-0.3423778328710136,-0.33147129705505524,-0.17843293084918888,-0.3278620924445491,-0.2615180726796759,-0.3290540763737323,-0.1522915547956973,-0.32423140242888365,-0.3612525204537579,-0.24197402912797106,-0.42541811953250824,-0.22824489286271296,-0.2621085561283839,-0.1924566182400553,-0.21300207032795485,-0.230483826666354,-0.19564723001819576,-0.17189700773750916,-0.12028787609198097,0.35296766907896115,-0.2031104520068835,-0.4645216335579657,-0.5074140318745717,-0.8137695582631803,-0.9539749568332129,0.8035332827316225,-0.07115608661092274,-0.18120838748519924,-0.34664415824573297,-0.3329974799999842,0.3634422256768865,-0.3791725970536425,0.2728857638612898,-0.22710812586158127,0.2756397719570103,-0.3883185300725483,-0.15765734752225857,-0.32270167547432793,-0.4456633704133335,-0.22823143502267998,-0.2624010062209646,-0.4719409713446318,-0.5472591427241312,-0.19624184903792755,-0.17331596127340543,0.12867423483264306,-0.23407045316465624,1.1989000484167969,-0.537901268438756,-0.42708182636115055,-0.22948517061052617,-0.26235435052161965,-0.21691119247259885,-0.283186776820521,-0.14951749557548794,-0.17515071340347466,-0.015230965421744945,-0.28009278604340265,0.5033346079138479,0.5052345503528711,-0.24223714347396802,0.5006453687786376,-0.25967438579783364,-0.09403929979340174,0.20574978578032252,-0.3412943964319394,-0.23805005570209942,-0.2669209876843673,-0.22180097174436517,-0.4445460735616006,-0.14853881400399827,-0.3059771621049948,-0.2406193020815645,0.02934810513600133,0.16208532956265784,-0.25459456570913985,-0.28935383456512315,0.15531147458515188,0.16168391848783994,-0.22223948640598742,1.3513567058726506,0.6042378164206208,-0.2950073531444851,-0.6305252354088021,-0.4542190917398189,-0.5532097052500912,-0.5479993221427693,-0.7425452112080666,-0.4897854037374135,-0.049983002935488914,0.9748244752266512,-0.5668647927910776,-0.47655739044383927,-0.49111148234374946
-0.20866027531980588,-0.22748523785279226,-0.24254053749713944,0.25200331616284394,-0.26336966105056475,0.05208368797621207,-0.24909306633866826,-0.22282597317916786,-0.23524353001612502,-0.22757194990781135,-0.20796748875246743,-0.23367839444711427,-0.2619636934986032,-0.22523222820207822,0.48925208160478867,-0.24254053749713944,-0.3938180680876168,-0.23092121514286068,-0.24118844988447102,-0.19229809196874778,-0.20710911269888452,-0.23549911292605916,-0.1753291821263844,-1.2792399167248576,0.0016394210949072982,0.5442539905769299,-0.18554510885966585,-0.7293440208179693,-0.7777855147622966,-0.7290943137371596,-0.9753092437294888,1.4173790857943582,-0.9478809252660021,-0.5654165139758367,-0.20650251673672979,-0.33771393241142583,0.4643160847996595,-0.4464957875357904,0.2347457737594309,-0.22939853552874684,-0.1121540726411961,-0.5155375451414616,0.26202393554761877,-0.82585078700816,-0.4950110404279178,-0.23094869584795047,-0.24155055370129416,-0.5829098998369747,-0.5202544390939196,-0.20925944832459228,-0.27108578593648963,0.5017561177583245,-0.22212830745727502,0.24866480129121307,-0.673980276259841,-0.3881847172738727,-0.23059076747576532,-0.24220697946160427,-0.2248003823526156,-0.2619937272082002,-0.1509922725319512,-0.26368868327578404,-0.19665323720995886,-0.5400713119600221,0.7540232710051519,0.7098302124679153,-0.2516952861665423,0.6575813574080039,-0.23990188396291756,-0.41272896331639236,-0.19578544141743973,-0.3765805809867148,-0.22629792378286528,-0.24565784334687038,-0.22196799557672695,-0.44559865378067554,-0.148553714436861,-0.37009260573135605,-0.31287017496586633,0.21179779148772454,0.35209689378981224,-0.23751683879506202,-0.3751012155095663,0.18673314785417983,0.5683060923132486,-0.22241492917928687,-2.692874003129058,-1.9484613346165507,-0.6063024136945724,0.8564563301203025,0.8215943569488571,-1.0418354134126226,-0.06904181150720581,0.07257012763367535,-0.7796154552372729,-0.8933822669263783,-0.3522167266753571,-0.7011274415770435,0.4610674238741237,-0.7788942621650157
-0.26973256239751897,-0.32471412883870643,-0.22828833029150475,-0.11315928824713915,-0.3626423607496112,-0.3439596994832573,-0.37867292974707967,-0.30127967975847236,-0.3721706140938471,-0.292922300851105,-0.19249732006238496,-0.39520172674219317,-0.36455802168531243,-0.30888085387094527,-0.9810016797479675,-0.22828833029150475,-0.2719196008354824,-0.25347502554179097,-0.26538652615778,-0.1927083975747624,-0.2153978101383045,-0.25488551430930045,-0.22129130450972856,-0.3988160759754222,-0.2828920183285881,-0.05244241033445374,-0.23146782845945635,-0.24780523542065258,-0.3131646524707642,0.013198322718199984,-0.42474527207025603,0.9121661108712839,-0.45203721198842006,0.2836798425201463,-0.34691711623578014,-0.3134569416267488,0.015708297105310236,-0.4058806793537345,-0.08353827758048242,-0.25168438298654544,-0.15650530002593785,-0.09113114547652863,-0.21878580468421432,-0.6535986719930097,-0.21930956213286837,-0.2534602910946196,-0.26682412846534553,-0.4831688393789466,-0.47346143843066973,-0.20622695787194953,-0.23617657973217504,-0.32589264362146037,-0.23991897568162038,0.08408342512972565,0.1294933884346091,-0.23911974409093426,-0.25358352311822135,-0.267775365014148,-0.21576951769931046,-0.2852252611089376,-0.1505017873398345,-0.22855768516809424,-0.5966587944816802,0.12455228601524362,0.35986765517163943,0.44164685367731243,-0.24304872362783864,0.40945718898739014,-0.2656895316886352,-0.2848508809236811,0.44107378108908385,-0.21035699335667957,-0.2554940627419195,-0.274383467211785,-0.22126687033926992,-0.42111819660695626,-0.14854455193484276,-0.3198206307272654,-0.32642580909915286,-0.4906212062633661,-0.4188466754720678,-0.2620678873903875,-0.32231281362768877,0.16491380661851507,-0.3951405063482423,-0.22168253697089732,0.6448931078686361,-0.280137521398641,-0.0793116932116566,0.023707663557808314,0.20760711282991887,-0.002941205648102633,0.1856631073851373,-0.09973471393849717,-0.053192081456676865,0.4407914432274297,-0.03190288789069357,-0.002149449129395716,-0.48449221482079186,-0.05010057355009262
-0.40563751277907795,-0.31062298521755943,-0.252391040159025,0.2391092269419793,-0.14779845841585393,-0.5550738750840144,-0.3745340151910371,-0.3427695650619917,-0.18889876713133405,-0.33821462328705104,-0.28769835815520006,-0.3594358460197114,-0.1587113041705828,-0.335575127482969,-0.5257648368258604,-0.252391040159025,-0.4219927624767339,-0.2304410364792986,-0.261209983152233,-0.19249803210210778,-0.2139026750384009,-0.2301930280105917,-0.19489919987716317,-0.1854151199677543,-0.1001103326546951,0.3696905105638113,-0.2057033700086085,-0.5573027984380735,-0.6089221828459466,-1.1671005342137188,-1.291975971314273,0.8132340761531153,-0.09485054127603167,-0.31344972093386037,-0.3402376114101126,-0.33334406752612183,0.3531971629743217,-0.3839204319348176,0.24782880765280624,-0.22676751363953834,-0.031100940885979974,-0.672686602573397,0.025029626330744518,-0.5909600916061252,-0.5270687716328682,-0.23044858196384224,-0.2617496009155136,-0.5314684942388557,-0.5900486134187721,-0.20234933902293664,-0.19091289091593186,0.31056420707698135,-0.23277903967522118,1.3691870739181604,-0.778025197081209,-0.42240076022199974,-0.23174163787741975,-0.2620224612680738,-0.22119627469174716,-0.2846722644306285,-0.1499818419210717,-0.18828308229039806,-0.1539068210767211,-0.6919716008750404,0.6232455718665749,0.6079090952700366,-0.24765950067287196,0.5767756559065432,-0.2590385650158303,-0.13067705935270255,-0.4303913145922613,-0.2946191243164869,-0.24564135213023955,-0.26785189452914293,-0.22193640536346673,-0.4460741694565482,-0.14855035000894493,-0.3154041892781243,-0.42723908504624586,0.04148075898765649,0.18171986975499085,-0.256142812915274,-0.29700101226880643,-0.048640781168537275,0.37903792639061595,-0.22238203284621616,0.41037023817685353,-0.492104330836905,-1.0503007297808493,-0.8886995794653555,-0.9690636021485011,-0.2125186432130828,-0.23632729807522745,-0.39359371160789924,-0.8976097808831247,-0.7350094380878778,-0.19529621713224074,-0.8865587673168633,0.7699707562905839,-0.8953754823879184
-0.214775998086976,-0.2564660232336179,-0.2563629306208654,0.08419775734284869,-0.26448092261436,-0.4553557212131366,-0.39013453928689007,-0.2403836001661841,-0.28869578723093753,-0.23404228168437508,-0.11395646363581254,-0.43442882172814096,-0.27097572889335986,-0.2470931833096129,-0.4523921315626979,-0.2563629306208654,-0.3643026280645081,-0.24434605177796428,-0.2585618498812725,-0.19267285575365203,-0.21455778524016034,-0.2501136019365095,-0.1850324922485647,-2.4210957044602543,-0.00963343412126978,0.46321952128022675,-0.20435353466837977,-0.7934242869879276,-0.851303511516049,-3.1941851270583728,-2.6702387852754454,1.2388588192798267,-0.7377459552181526,-0.7023003501226076,-0.29931773808526263,-0.33294819060827546,0.2532990518566108,-0.4326270136821596,0.02399481928159964,-0.2435074319672149,-0.6874949458079637,-0.8369526640522824,0.5246713851279415,-0.9300096518935316,-0.5659518207396371,-0.2443257410710354,-0.26190981810865693,-0.6114777421163693,-0.613410754014219,-0.20932947021849,-0.23342003190152966,0.7687006498478302,-0.23160908412742182,2.8283354406472303,-0.8962762645231644,-0.3513410367666848,-0.24425274336080946,-0.2632946827984858,-0.2270644865343906,-0.28722733877130097,-0.15069352132638725,-0.22308368375188184,-0.5974925509613018,-0.9067228273321575,0.8733752750122141,0.7872138126844115,-0.25391778518350583,0.7259270328023675,-0.26008332698417863,-0.23694036458835882,-0.8899300456632246,-0.27677508047991434,-0.24770824461057192,-0.2756292722469521,-0.22198661723652088,-0.4464183192240739,-0.14855389242364903,-0.28618846365514095,-0.5376819705076675,0.29722574858977496,0.43611508169361185,-0.2606658735429287,-0.2262754464102025,-0.498429245478633,0.9014025747324933,-0.22243401136774427,-1.5733965016071805,-1.225633634845483,-1.8143540099827327,-1.4933599346228992,-1.242584089094577,-1.800328436089878,-1.95255207006698,-1.5461164449413385,-1.0911598828103708,-1.9198632192607372,0.30521217274849677,-1.2687526694869327,2.9881892017904037,-1.09192704068286
-0.3521249385663391,-0.36745726448951893,-0.2249414395506042,-0.14216659616584096,-0.35523395032430927,-0.13776956963934406,-0.4082820877249231,-0.3661450726630741,-0.36788239749815227,-0.3653900167486187,-0.27222818946511756,-0.4052007901699838,-0.35948093997850283,-0.36939571270086924,0.3015497674318314,-0.2249414395506042,-0.254761516813987,-0.25230324556215566,-0.27238334568329453,-0.19268413872323806,-0.21287988851258632,-0.2534162194243156,-0.22474065412987443,0.11847243597147956,-0.34818179249553816,-0.1942789362358834,-0.23098624592840802,0.08064303826369996,0.05285244014681692,0.13292971676456233,-0.06658462704899451,0.25286785627977265,0.17677425077839412,0.75208489643102,-0.40534342846997795,-0.2915209580960943,-0.10864868077476347,-0.3422564449221909,-0.10219025619595039,-0.2507433189590325,0.22786748260196227,0.02915018221976894,-0.5808909650021161,-0.08282014776628625,0.0563658195852319,-0.25228462281647535,-0.2739413395773908,-0.3072208968302096,-0.41569616387499464,-0.20058830357443413,-0.2168429742412052,-0.45673036529769906,-0.24147832326592333,-0.0022353920496143557,0.7838061695852385,-0.23039306516462202,-0.25195168521746947,-0.27428665540615027,-0.20292345285466623,-0.2900652338153614,-0.14998466090060947,-0.210475381063423,-0.3949646292086612,0.601474221144736,0.03195689134415306,0.16306216960767964,-0.228307737585317,0.17960641297425484,-0.27215529788933623,-0.23410051049483926,0.9718339581546156,-0.22993161113551847,-0.2519351022827106,-0.2771135342543304,-0.21792576056218213,-0.35600231190358145,-0.1484684009268843,-0.31267305059108,-0.1783141416934603,-0.1785904812661325,-0.060658406076639,-0.26247021750039734,-0.3071718474823755,0.04860203852499888,-0.5029738164701009,-0.2181452807084163,-0.9189906676263647,-0.8133892051265103,0.5479838272011085,1.147395809360301,1.2107839877904853,2.1262371347149456,3.0604675921226683,2.6619303121250484,0.7022064879878593,0.6051452559558089,-1.2934184485082982,1.1961019876819519,-0.32980085397127734,0.7056232467545269
-0.20432830502639376,-0.300289479895385,-0.2520727218764127,-0.12848401398736337,-0.3937576845358795,0.46251383894725245,-0.31754434553475785,-0.26817945758826556,-0.37950703559891164,-0.2683350401001628,-0.16155698268222007,-0.33136155254937627,-0.39282999756231696,-0.27651818416084833,0.5863563503746845,-0.2520727218764127,-0.22086277400084486,-0.25152492095996465,-0.26011508765894925,-0.19264151511978944,-0.21266045515274698,-0.254305846189911,-0.2086116466580453,-1.4911905486259958,-0.2202613849660261,0.1385179839801352,-0.21341628611955277,-0.2801399395521246,-0.32756351691176777,-0.2202559785377002,-0.4023356727255278,1.1705574831800245,-0.8073100499761358,0.20748412030910596,-0.30839445551733374,-0.3005962479296383,0.025192906462567215,-0.3574553441869885,-0.13542623371248105,-0.2497982875259444,-0.2723252808012111,-0.7604353212397222,-0.2762707731676086,-0.5449664834529203,-0.5117224542588861,-0.2514926568592268,-0.2622275551228907,-0.47976583926021876,-0.43855818710886973,-0.20766064647113233,-0.2507620849858763,-0.10178490881351218,-0.23595005488183196,0.14622257620851187,-0.7435731888631092,-0.19769258681186708,-0.2506504680367841,-0.2629109391085555,-0.2163696622171083,-0.27967749516740253,-0.1507100770966802,-0.24205707263527157,-0.6143028734623248,-0.7771009023571398,0.4004228799949574,0.4627814390860527,-0.24331765004215528,0.43601314530491164,-0.26090936614267574,-0.33238326362342235,-0.7375987093155075,-0.30170042494217003,-0.24186144987764097,-0.26448739848957076,-0.22178873523149353,-0.4388279360401033,-0.14855209046758672,-0.3371731378065028,-0.504167383204534,-0.08915333825477506,0.04416871832562786,-0.252656697593255,-0.3507665594071255,-0.0004088646226560247,-0.11835891661103558,-0.2222291790595175,0.043735689912807824,0.16865562468643105,-1.1660485991499991,-1.2545300654871157,-1.3529246639201222,-1.2469697213093731,-1.4211478449512798,-1.407463291043557,-0.9573393333269274,-1.26309884970089,0.27447441385264754,-1.0148599221049819,0.8207647613886608,-0.9568923518359506
-0.2552926614194784,-0.115225793670988,-0.24266245908898398,0.6662988360602032,0.009259842600547952,-0.49213043912464305,-0.21630012793309975,-0.16656189213546804,0.021317145991055816,-0.16416269849748683,-0.26389809863199626,-0.17599149005601464,0.00974625121678363,-0.15576618620176205,-0.5020914398902483,-0.24266245908898398,-0.5123170888683979,-0.18156539213915437,-0.20023053376073793,-0.1913689918184587,-0.2141582475596425,-0.18905366743705934,-0.0937536069721912,-1.1579764239054224,0.35699803829269766,0.9692235891994648,-0.12014190350140046,-1.0823846869226503,-1.082880033633057,-2.2505972843805493,-2.045032643966365,1.3559458358758032,-0.59426897844171,-1.1483358896235367,-0.03661733718797388,-0.3500784104166419,0.8873068575739493,-0.4756467702593749,0.637528953031522,-0.17908576885879796,0.07622936025762732,-0.5109244253809079,0.9129876321333082,-0.9407064962793626,-0.5416796540587326,-0.18153285262153918,-0.20204862726506712,-0.6259420328742639,-0.4936535676809873,-0.20948171438762989,-0.27051582387442974,1.256927592840816,-0.19387927597030025,0.6292225265217991,-0.8158344223325408,-0.5290036114090966,-0.18244474438127165,-0.20332450400876728,-0.22885854994222973,-0.22227744597566126,-0.1510109837311861,-0.26361381321062366,0.3668047963705888,-0.626854955366488,0.9864719496284026,0.8534462950485445,-0.2554146466531421,0.7901720981307295,-0.2012290792366782,-0.41019170180151227,-0.38289184336361676,-0.48550938821979195,-0.193502046238867,-0.21588204391443683,-0.22198699052439316,-0.44631927308177904,-0.1485538693209612,-0.37701037019269246,-0.2258873212964871,0.9339558483529394,1.0279700914606402,-0.21188139000711154,-0.3809581617051422,0.12411091042898519,1.3652853121046167,-0.2224339002579048,-1.8787351995563328,-2.2416782234931003,-0.9297256710555747,0.690254755241367,0.885956496370208,-1.0924836213116726,-1.510175300500346,0.12773529452845964,-0.8757021700910494,-0.4432565712835368,-0.23990233296153832,-0.8495030807791893,0.7043294338654854,-0.8756939244685324
